price,nb_baths,surface_area,Ascenseur,Balcon,Chauffage,Climatisation,Concierge,Cuisine Équipée,Duplex,Meublé,Parking,Sécurité,Terrasse,total_rooms,bath_room_ratio,surface_per_room,equipment_score,city_Agadir,city_Bouskoura,city_Casablanca,city_El Jadida,city_Fès,city_Kénitra,city_Marrakech,city_Meknès,city_Mohammedia,city_Rabat,city_Salé,city_Tanger,city_Temara,city_other
660000.0,2.0,85.0,1,1,0,0,1,1,1,0,1,1,0,4.0,0.4,17.0,7,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1050000.0,3.0,114.0,0,1,0,0,0,0,0,0,0,0,0,4.0,0.6,22.8,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True
680000.0,1.0,94.0,0,0,0,0,0,0,0,0,0,0,0,4.0,0.2,18.8,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
900000.0,1.0,117.0,0,1,0,0,0,0,0,0,0,0,1,3.0,0.25,29.25,2,False,False,False,False,False,False,False,False,False,False,False,False,False,True
850000.0,1.0,82.0,0,1,0,0,0,0,0,0,0,0,1,3.0,0.25,20.5,2,False,False,False,False,False,False,False,False,False,False,False,False,False,True
755000.0,2.0,76.0,1,1,0,0,1,1,0,0,1,1,1,3.0,0.5,19.0,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False
590000.0,2.0,59.0,1,1,0,0,1,1,0,0,1,1,1,3.0,0.5,14.75,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1155600.0,2.0,107.0,1,1,0,1,0,1,0,0,1,0,1,4.0,0.4,21.4,6,False,True,False,False,False,False,False,False,False,False,False,False,False,False
815000.0,2.0,82.0,1,1,0,0,1,1,0,0,1,1,1,3.0,0.5,20.5,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1240000.0,2.0,116.0,1,0,0,1,0,1,0,0,1,0,1,4.0,0.4,23.2,5,False,True,False,False,False,False,False,False,False,False,False,False,False,False
860000.0,2.0,89.0,1,1,0,0,1,1,0,0,1,1,1,3.0,0.5,22.25,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False
740000.0,2.0,84.0,1,1,1,1,1,1,0,0,0,1,1,3.0,0.5,21.0,8,False,True,False,False,False,False,False,False,False,False,False,False,False,False
799000.0,2.0,90.0,1,1,1,1,1,1,0,0,1,1,1,3.0,0.5,22.5,9,False,True,False,False,False,False,False,False,False,False,False,False,False,False
755000.0,2.0,76.0,1,1,0,0,1,1,0,0,1,1,0,3.0,0.5,19.0,6,False,True,False,False,False,False,False,False,False,False,False,False,False,False
800000.0,2.0,76.0,1,1,0,0,1,1,0,0,1,1,1,3.0,0.5,19.0,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False
585000.0,2.0,59.0,1,1,0,0,1,1,0,0,1,1,0,3.0,0.5,14.75,6,False,True,False,False,False,False,False,False,False,False,False,False,False,False
855000.0,2.0,83.0,1,1,0,0,1,1,0,0,1,1,1,3.0,0.5,20.75,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False
759900.0,2.0,82.0,1,1,0,0,1,0,0,0,1,1,1,3.0,0.5,20.5,6,False,True,False,False,False,False,False,False,False,False,False,False,False,False
880000.0,2.0,96.0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.5,24.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False
635000.0,2.0,65.0,1,1,0,0,1,1,0,0,1,1,1,3.0,0.5,16.25,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1000000.0,2.0,99.0,1,1,1,1,1,1,0,0,1,1,1,2.0,0.6666666666666666,33.0,9,False,True,False,False,False,False,False,False,False,False,False,False,False,False
947600.0,2.0,92.0,1,1,0,0,0,1,0,0,1,1,0,4.0,0.4,18.4,5,False,True,False,False,False,False,False,False,False,False,False,False,False,False
780000.0,2.0,75.0,1,1,1,1,1,1,0,0,1,1,1,3.0,0.5,18.75,9,False,True,False,False,False,False,False,False,False,False,False,False,False,False
860000.0,2.0,86.0,1,1,0,0,1,1,0,0,1,1,1,4.0,0.4,17.2,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False
800000.0,2.0,77.0,1,1,0,1,0,1,0,0,1,0,0,3.0,0.5,19.25,5,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1230000.0,2.0,145.0,1,1,0,0,1,1,0,0,1,1,1,4.0,0.4,29.0,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False
570000.0,1.0,60.0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.25,15.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False
530000.0,1.0,74.0,1,1,0,0,0,1,0,0,0,0,1,3.0,0.25,18.5,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True
750000.0,1.0,83.0,1,0,0,1,0,1,0,0,1,0,1,4.0,0.2,16.6,5,False,False,False,False,False,False,False,False,False,False,False,False,False,True
570000.0,1.0,84.0,0,1,0,0,0,1,0,0,0,0,0,3.0,0.25,21.0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,True
600000.0,1.0,87.0,0,1,0,0,0,1,0,0,0,0,0,3.0,0.25,21.75,2,False,False,False,False,False,False,False,False,False,False,False,False,False,True
650000.0,1.0,101.0,0,1,0,0,0,1,0,0,0,0,0,4.0,0.2,20.2,2,False,False,False,False,False,False,False,False,False,False,False,False,False,True
790000.0,2.0,94.0,0,1,0,0,0,1,0,0,1,0,0,4.0,0.4,18.8,3,False,False,False,False,False,False,False,False,False,False,False,False,False,True
720000.0,2.0,96.0,0,1,0,0,0,1,0,0,0,0,1,5.0,0.3333333333333333,16.0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,True
490000.0,1.0,68.0,0,1,0,0,0,1,0,0,0,0,0,3.0,0.25,17.0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,True
660000.0,2.0,106.0,0,1,0,0,0,1,0,0,1,1,0,4.0,0.4,21.2,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True
